Date,Product,Predicted_Price_EGP
2026-06-01,farm chicken,86.17
2026-07-01,farm chicken,86.87
2026-08-01,farm chicken,88.03
2026-09-01,farm chicken,92.93
2026-10-01,farm chicken,101.46
2026-11-01,farm chicken,107.6
2026-12-01,farm chicken,119.16
2027-01-01,farm chicken,131.77
2027-02-01,farm chicken,156.46
2027-03-01,farm chicken,172.43
2027-04-01,farm chicken,203.87
2027-05-01,farm chicken,242.58
2027-06-01,farm chicken,271.75
2027-07-01,farm chicken,316.75
2027-08-01,farm chicken,328.77
2027-09-01,farm chicken,331.32
2027-10-01,farm chicken,338.8
2027-11-01,farm chicken,341.91
2027-12-01,farm chicken,347.33
2028-01-01,farm chicken,332.14
2028-02-01,farm chicken,326.07
2028-03-01,farm chicken,330.0
2028-04-01,farm chicken,344.14
2028-05-01,farm chicken,352.61
2028-06-01,farm chicken,370.08
2028-07-01,farm chicken,375.35
2028-08-01,farm chicken,379.34
2028-09-01,farm chicken,383.8
2028-10-01,farm chicken,390.94
2028-11-01,farm chicken,394.53
2028-12-01,farm chicken,400.78
2026-04-01,fresh milk,34.81
2026-05-01,fresh milk,36.63
2026-06-01,fresh milk,38.1
2026-07-01,fresh milk,39.42
2026-08-01,fresh milk,41.48
2026-09-01,fresh milk,44.07
2026-10-01,fresh milk,47.74
2026-11-01,fresh milk,53.0
2026-12-01,fresh milk,56.69
2027-01-01,fresh milk,59.48
2027-02-01,fresh milk,58.63
2027-03-01,fresh milk,56.14
2027-04-01,fresh milk,58.56
2027-05-01,fresh milk,58.75
2027-06-01,fresh milk,59.34
2027-07-01,fresh milk,60.95
2027-08-01,fresh milk,66.59
2027-09-01,fresh milk,73.14
2027-10-01,fresh milk,82.37
2027-11-01,fresh milk,93.38
2027-12-01,fresh milk,108.79
2028-01-01,fresh milk,128.58
2028-02-01,fresh milk,149.45
2028-03-01,fresh milk,170.25
2028-04-01,fresh milk,196.65
2028-05-01,fresh milk,248.22
2028-06-01,fresh milk,284.7
2028-07-01,fresh milk,330.94
2028-08-01,fresh milk,341.97
2028-09-01,fresh milk,347.0
2028-10-01,fresh milk,353.08
2028-11-01,fresh milk,357.93
2028-12-01,fresh milk,363.17
2026-04-01,frozen macaroni fish,120.8
2026-05-01,frozen macaroni fish,122.25
2026-06-01,frozen macaroni fish,124.32
2026-07-01,frozen macaroni fish,126.14
2026-08-01,frozen macaroni fish,132.66
2026-09-01,frozen macaroni fish,138.27
2026-10-01,frozen macaroni fish,146.96
2026-11-01,frozen macaroni fish,154.76
2026-12-01,frozen macaroni fish,171.82
2027-01-01,frozen macaroni fish,196.01
2027-02-01,frozen macaroni fish,228.99
2027-03-01,frozen macaroni fish,240.6
2027-04-01,frozen macaroni fish,257.99
2027-05-01,frozen macaroni fish,292.07
2027-06-01,frozen macaroni fish,306.37
2027-07-01,frozen macaroni fish,316.51
2027-08-01,frozen macaroni fish,320.09
2027-09-01,frozen macaroni fish,322.58
2027-10-01,frozen macaroni fish,329.19
2027-11-01,frozen macaroni fish,333.72
2027-12-01,frozen macaroni fish,339.2
